,F 14-18,M 14-18,F 19-30,M 19-30,F 31-50,M 31-50,F 51+,M 51+
Protein (g),46,52,46,56,46,56,46,56
Carbs (g),130,130,130,130,130,130,130,130
Fiber (g),25.2,30.8,28,33.6,25.2,30.8,22.4,28
Sugar (%),< 10%,< 10%,< 10%,< 10%,< 10%,< 10%,< 10%,< 10%
Fat (%),30%,30%,30%,30%,30%,30%,30%,30%
Sat Fat (%),< 10%,< 10%,< 10%,< 10%,< 10%,< 10%,< 10%,< 10%
Sodium (mg),"2,300","2,300","2,300","2,300","2,300","2,300","2,300","2,300"
Cholestrol (mg),200,200,200,200,200,200,200,200
Calories,1800,2800,2000,2600,1800,2200,1600,2000
Trans Fat (g),2,2.5,2,2.5,2,2,1.5,2
